Reference,TopContact,TopContact_Z,BackContact,BackContact_Z,ActiveLayer,AL(Z),Avg_Z,AL(Z_sq) ,AL(A),AL_Mob(cm2/Vs),AL_Den(g/cm^3),Avg_Val_e,AL_Eg(eV),AL_Th_Eg(eV),Thickness(nm),Substrate,S_Eg(eV),S_Th_Eg(eV),E(eV),Wave_L(nm),Res(A/W),P_Int(μW/cm2),Bias(V),PIN,NIP,FET,SBD,NN,Ohmic,PN
https://doi.org/10.1007/978-981-19-2308-1_15,Au,79,Cu,29,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.2,2.68,200,Si,1.12,0.61,2.254545455,550,0.496,1.19,3,0,0,0,1,0,0,0
https://doi.org/10.1007/978-981-19-2308-1_15,Au,79,Cu,29,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.2,2.68,200,Si,1.12,0.61,2.755555556,450,0.194,1.18,3,0,0,0,1,0,0,0
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,4.06557377,305,0.121,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,4.025974026,308,0.174,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.974358974,312,0.203,18.27586207,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.949044586,314,0.114,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.911671924,317,0.091,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.875,320,0.136,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.839009288,323,0.088,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.79204893,327,0.089,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.757575758,330,0.119,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.701492537,335,0.06,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.647058824,340,0.075,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.625730994,342,0.053,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.604651163,344,0.076,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.573487032,347,0.054,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.542857143,350,0.051,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.502824859,354,0.025,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.483146067,356,0.003,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.454038997,359,0.003,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.415977961,363,0.007,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.734939759,332,0.111,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.369565217,368,0.005,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,3.27,2.68,200,GaN,3.39,1.73,3.187660668,389,0.006,18.275,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,4.054516014,305.8318171,0.044458117,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,4.015849918,308.7764795,0.029143123,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.970341593,312.3156965,0.017878953,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.938978515,314.8024279,0.046646555,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.896821667,318.2080439,0.039891174,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.865358952,320.7981498,0.055017288,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.821882588,324.4474343,0.063406221,4.419354839,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.79204893,327,0.093,4.419354839,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.759114935,329.8648808,0.045064645,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.724985239,332.8872252,0.031504048,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.696696007,335.4346686,0.030893108,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.619880521,342.5527425,0.040322869,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.593851525,345.0337309,0.022984107,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.565410121,347.7860773,0.022166298,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.539844439,350.2978793,0.019791459,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.500948198,354.1897594,0.020982335,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.474527728,356.8830348,0.017757973,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.450763522,359.3407639,0.015867003,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.416851615,362.9071847,0.02574054,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.387326175,366.0704449,0.01850425,4.42,8.8,0,0,0,0,0,0,1
https://doi.org/10.1364/OE.25.030843,ITO,,In,49,TiO2,38,12.66,1444,79.865,0.1,3.86,5.33,2.95,2.68,200,GaN,3.39,1.73,3.365436114,368.4515046,0.020203529,4.42,8.8,0,0,0,0,0,0,1
